Candidato,Partido,Votos
Katia Nogueira,DEM,90
Missionaria Betania,PP,89
Arcilon Amorim,PV,89
Cristina Queiroz,PTC,88
Bibi Silva,SD,88
Wellington,PC do B,87
Zé Luiz,PHS,87
Ilka Griz,PRB,85
Dr. Abner,SD,85
Antonio Filho,PV,85
Professor Ted Willams,PPL,85
Fernando Drygala,SD,84
Wellington Mota,PRP,84
Roberto Santos,PRP,84
Kris França,PRP,84
Duda,PV,84
Pr. Félix Neto,SD,83
Professor Gilvan,PPL,83
Zé Lezinho,PRB,82
Fernando dos Mercados,PPL,82
China,PEN,81
Tia Nina,PPS,81
George Mendes,PCO,81
Rosa Marques,PTC,80
Romero Pereira,PSDB,80
Braz Filho,PSDC,80
Capelão Osvaldo,PPS,80
Profº Adelson Franca,PP,80
Mané da Copa,PV,80
Cláudio Queiroz,DEM,80
Pereirão,PSD,79
Branca,PPS,79
Rosane,PP,79
Carol de Graciete,SD,79
Berinho Santana,PP,79
Shirley França É de Coração,SD,79
Josy Santos,SD,79
Lindoso,PMN,79
Diogo Mc Intyre,PV,79
Marta Motoqueira,PSDC,78
Luiz Augusto,PCO,78
Nivaldo Lopes,PRP,77
Célia Alves,PPL,77
Tânia Borges,PRP,76
Marilene Costa,PSB,75
Maria José,PRP,75
Carlos Braz Indio,PTC,75
Lia da Macaxeira,PSD,75
Gibi do Coco,PPL,75
Irandi,PPS,74
Leticia Oliveira,PSOL,74
Erika Siqueira,PSL,74
Sandro Soares,PV,74
Lenildo Giliard,PV,73
Jorge da Saúde,PRB,72
Robson Rabelo,DEM,72
Jack Calado,PHS,72
Gildo dos Rodoviários,PPL,71
Micelia Simplicio,PSOL,70
Charles Heitor,PV,70
Professora Mônica,PSDC,69
Manoel Bastos Enfermeiro,PMN,69
Raul Schumacher,PMN,69
Elissandra Cabral,PSDB,68
Malba Bemvindo,PSDC,67
Bete,PEN,67
Irmã Luzinete,PSDB,67
Lourdes Cavalcanti do Posto,PRTB,66
Arlene,PPL,66
Luciana (nana),PPS,65
Cristiano Souza,PDT,65
Marcela Pérola Negra,PRTB,65
Jaqueline Carvalho,PPL,65
Miriam Cunha,PSB,64
Manoel Gusmão,PHS,64
Iara Paiva,PP,62
He-man,PV,62
Terezinha de Jesus,PSB,61
Agenor da Água,PPS,61
Kátia Sette,DEM,61
Jair Porfirio,PRP,60
Fernando Encarnação,PSD,59
Ramiro do Povo,PRP,59
Irmão Alexandre,PPL,59
Junior Pirro,DEM,59
Adriana Alves,PPS,58
Denny Michel,PTC,58
Vanessa Campos,PTC,58
Fabia,PSD,57
Capinha,PSL,57
Andre Luiz,PMN,57
Zé Carlos,PSDB,56
Maria Rita,PRTB,56
Robinho de Casa Amarela,PPS,56
Eja Miguel,PRP,56
Paula Fernandes,PSB,56
Eliane Lima,PTC,56
Raphaela Duarte,PTC,56
Caseli,PHS,56
Mago do Taxi,PPL,55
Ronaldo José de Lima,PC do B,54
Marthinha,PMN,54
Rafa Almeida,PV,54
Adeildo Queiros,PTB,53
Maria Helena Mendes,PV,53
Dione Moura,PSD,52
Irmã Didi,PRTB,50
Nilza,PSDC,50
Anderson Campos,PTC,50
Zenne Barros,PROS,49
Beto Miranda,PPL,49
Vera,PPL,48
Cristiano Silva Andrade,PV,48
Rhayssa de Andrade,DEM,48
Cassia Coelho,PP,47
Rejane Souza,SD,47
Luzinete,PPS,47
Lucineide Brasil A Rainha do B,PSDB,47
Débora Queiroz,PSDB,47
Guarda Roupa,PRTB,46
Ducarmo,PSB,46
Dalva Moura,PTC,46
Mario Rissin,PTC,46
Ralderes (negão da Sede),PPL,46
Santina,PV,45
Jurandy,PV,45
Toinho Amendoim,PRP,44
Ana Ligia,PSOL,44
Joseles Ribeiro,PSDC,44
Ceça da Lan House,PSC,44
Robertão,SD,43
Seu Roberto O Homem Certo,PTC,43
Fred do Metrô,PEN,43
Reinaldo Rivera,DEM,43
Sassá,PV,43
Anísio Arruda,PHS,43
Cantora Sandra Souza,PHS,43
Isaias Thomaz,PHS,43
Marney,PSOL,42
Prof Felipe Menezes,PSOL,42
Cassia Figueiredo,SD,41
Joab Henrique,PPS,41
Nado Mansinho,PSC,40
Mary,PPL,40
Eraldo do Côco,DEM,40
Humberto Sobrinho,PRTB,39
Matuto do Armazem,PSD,39
Tia Lucy,PPS,39
Eline Natalia,PPS,39
Zé do Oculos,PRP,38
Fernanda Rolim,SD,38
Cabuloso,PSL,38
Eliane,PPL,38
Fia Antonia Olivia,PSDB,37
Ana Paula,PRP,37
Carlos Siqueira,PSDC,37
Ada Beatriz,PMN,37
Graças Tiburcio,PSDB,36
Lucia Lucena,PSB,36
Davi da Refrigeração,SD,36
Natalício de Souza,SD,36
Pastor Charlles Braz,SD,36
Priu Duarte,PC do B,35
Bilinha,PRTB,35
Edson Santos,PRTB,35
Aidé Batista,PHS,35
Juscelino dos Rodoviários,PMN,35
Professor Joaquim Marques,PPS,34
Suzana Abreu,PTC,33
Cris Bautista,PRTB,32
Tony Claiton,PSDC,32
Rita de Cássia,PPL,32
Leandro Monteiro,PV,32
Wilma Linary,PSC,31
Elly Reis,PCO,31
Seu Coutinho,PSDB,30
Flavia Alves,PTC,30
Silva Junior,PC do B,29
Pastor Crhistian Lisboa,PPS,29
Vanda Silva,PSD,29
Fatima Castro,PHS,29
Marcilio Lessa,PSL,28
Nina,SD,28
Marcia Leite,PSD,28
Richard Pasquale,PT,28
Carla Lopes,DEM,28
Thiago Mágico,PPS,27
Prof. Cicero Inácio,PMN,27
Rose da Bomba,PPS,25
Antonio Salada,PV,25
Julio Moraes,PPL,25
Elisangela Maria,PPL,25
Jorginho das Pizzas,PHS,24
Any Pricscila,PHS,24
Zenilda,PSDB,23
Teca Cristina,PRTB,23
Alexandre Amaral,PHS,23
Sandra Lee,PC do B,22
Erika,PPS,22
Deyverson Freire,PV,22
Viviane Ferreira,PEN,21
Marcone José,PHS,21
Paulo Dias,PRB,20
Cida,PPL,20
Armando Monteiro,PV,20
Lidice Britto,PTC,19
Beatriz Simplicio,PPS,19
Izabelly Santos,SD,19
Roberta Moura,PRP,19
Paulo Selva,PMN,19
Jair Silva,PPL,19
Tavinho,PSDC,18
Kátia Cilene,PSDB,18
Adriane D'yewa,PSD,18
Priscila,PSOL,18
Romero Menor,PV,18
Ananias Salvador,PSDB,17
Professora Marytz,PEN,16
João Bené,PSD,16
Professora Elaine,PSDC,16
Eliane do Espetinho,SD,16
Mike Pereira,PHS,16
Pastor Jonathan,PPL,16
Brazuca,PSL,15
Washington de Souza,PPS,15
Ricardo Melo,PV,15
Sara Braga,PRB,14
Ray,PRTB,13
Luciana Arantes,PT,13
Enfermeiro Alexandre Borges,PEN,13
Pastor Edson Barbosa,PPL,13
Anaiza Gomes,PPL,13
Sidnei,PPS,12
Carmem Nascimento,PC do B,12
Edson Ribeiro,PPL,12
Eliene Felipe,PRP,11
Cristiane Silva,PSOL,11
Marly Catalógos,PTC,10
Wando Wanderley Neto,PSB,10
Aninha Soares,PCO,10
Ana Rafaela,PHS,10
Adriana Freire,PPS,9
Renata Cybelle,PSDC,9
Mãe Ana,PHS,9
Pablo Castro,SD,8
Marcela Maria,PEN,8
Elza Rodrigues,PP,7
Ivania Tavares,PT,7
Roberta Padilha,PTC,5
Pinheiro Bahia,SD,5
Betinha Silva,SD,5
Ana Almeida,PP,4
Wellington Mídia,PSDC,4
Musa Madalayne Cavalcanti,PR,4
Ana Paula Lima,PCO,4
Priscila Ferreira,PMN,4
Fernanda Santos,PSDB,3
Erika Correia,PRP,3
Monique Alves,PMN,3
Noêmia,PEN,2
Matuto do Coque,PSDC,2
Luciana Moura,PTC,2
Renata Silva,PHS,2
